id	name	pattern	note	font	bold	fill	font_rgb	fill_rgb	style_id
1	p	pcdn	无需多言	黑	B	n	000000		17
2	m	mcdn		黑	B	n	000000		17
3	h	hcdn		黑	B	n	000000		17
4	2	p2p		蓝	B	n	0070C0		21
5	s	stun		蓝	B	n	0070C0		21
6	bsc	bsccdn	流氓必屏蔽	黑	B	n	000000		17
7	yf1	yfp2p	流氓必屏蔽	黑	B	n	000000		17
8	yf2	yfcdn	流氓必屏蔽	黑	B	n	000000		17
9	ppio	ppio	流氓必屏蔽	黑	B	n	000000		17
10	ie	ietheivaicai	流氓必屏蔽	黑	B	n	000000		17
11	wx	onething	流氓必屏蔽	黑	B	n	000000		17
12	pkoplink	pkoplink	流氓必屏蔽	黑	B	n	000000		17
13	p2	p2cdn	流氓必屏蔽	黑	B	n	000000		17
14	qq	p2ptun		黑	N	n	000000		3
15	s1	stun1		蓝	B	n	0070C0		21
16	wxy	onethingpcs	最流氓P2P必屏蔽	黑	B	n	000000		17
17	xy	xycdn	PCDN必屏蔽	黑	B	n	000000		17
18	kuiniuca	kuiniuca		黑	B	n	000000		17
19	msstatic	msstatic	疑似虎牙未见影响	红	B	n	FF0000		9
20	yf3	yfcloud		黑	N	n	000000		3
21	saxysec	saxysec	P2P必屏蔽	黑	B	n	000000		17
22	yximgs	yximgs	影响快手短剧	黑	N	y	000000	FFFF00	33
23	szbdyd	szbdyd	B站PCDN，屏蔽	黑	B	n	000000		17
24	uhabo	uhabo	流氓P必屏蔽	黑	B	n	000000		17
25	p3	p2pupdate	垃圾	黑	B	n	000000		17
26	cdnnodedns	cdnnodedns		黑	B	n	000000		17
27	p2perrorlog	p2perrorlog		黑	N	n	000000		3
28	p2plog	p2plog		黑	N	n	000000		3
29	dy1	stun1.douyucdn.cn		黑	B	n	000000		17
30	dy	stun.douyucdn.cn		黑	B	n	000000		17
31	gjfzpt	gjfzpt	垃圾	黑	B	n	000000		17
32	dy2	p2pchunk		黑	B	n	000000		17
33	dy3	dyp2p		黑	B	n	000000		17
34	live	p2plive		黑	B	n	000000		17
35	v	vodlive		红	N	n	FF0000		7
36	iwan	iwan		黑	N	n	000000		3
37	pgdt	gdt	疑似不影响Q音App	红	N	n	FF0000		7
38	pdata	pdata		黑	B	n	000000		17
39	cachecdn	cachecdn	垃圾	黑	B	n	000000		17
40	meta-cdn	meta-cdn		黑	B	n	000000		17
41	f	Fvid		红	N	n	FF0000		44
42	valb	valb		红	N	n	FF0000		7
43	valf	valf		红	N	n	FF0000		7
44	valc	valc		红	N	n	FF0000		7
45	pull-hs-f	pull-hs-f		黑	N	n	000000		3
46	pullhsf	pullhsf		黑	N	n	000000		3
47	pull-hs-f5-hot	pull-hs-f5-hot		黑	N	n	000000		3
48	trackercdn	trackercdn		红	N	n	FF0000		7
49	163	163jiasu		红	B	n	FF0000		9
50	6	isure6		黑	N	n	000000		3
51	p-cdn	p-cdn	垃圾	黑	B	n	000000		17
52	pscdn	pscdn	垃圾	黑	B	n	000000		17
53	scdn	scdn	影响WPS、小红书	白	N	n	FFFFFF		70
54	v1d	v1d	太短慎用	黑	N	n	000000		3
55	tp2p	tp2p	垃圾	黑	N	n	000000		3
56	twns	twns	影响Q音手机	白	N	n	FFFFFF		70
57	sd-gl	sd-gl		黑	N	n	000000		3
58	xyp-n	xyp-n		黑	N	n	000000		3
59	xinqiucc	xinqiucc	垃圾	黑	B	n	000000		17
60	sdk1xyajs	sdk1xyajs	垃圾	黑	B	n	000000		17
61	ac.dun	ac.dun	网易易盾	白	N	n	FFFFFF		70
62	U	upload		蓝	B	n	0070C0		21
63	jomodns	jomodns		黑	B	n	000000		17
64	xmcdn	xmcdn		红	N	n	FF0000		7
65	p2p-ali	p2p-ali		黑	N	n	000000		3
66	p2pvod	p2pvod		黑	N	n	000000		3
67	l	live	穿越火线、游戏、MS*	白	N	y	FFFFFF	FFFF00	67
68	t	tracker		蓝	B	n	0070C0		21
69	byteorge	byteorge		黑	N	n	000000		3
70	fresco	fresco	潜在误伤	红	N	n	C00000		47
71	snssdk	snssdk	？	黑	N	n	000000		84
72	v-p2p	v-p2p	垃圾	黑	B	n	000000		17
73	mnet	mnet	慎用	黑	N	n	000000		3
74	volc	volc		红	N	n	FF0000		7
75	amemv	amemv	抖音	红	N	n	FF0000		7
76	bytescm	bytescm		黑	N	n	000000		3
77	bytednsdoc	bytednsdoc		黑	N	n	000000		3
78	bytegoofy	bytegoofy		黑	N	n	000000		3
79	xycloud	xycloud		红	N	n	C00000		47
80	xyp2p	xyp2p		黑	N	n	000000		3
81	fcdn	fcdn	虎牙	黑	N	y	000000	FFFF00	15
82	peer	peer		蓝	B	n	0070C0		21
83	turn	turn		蓝	B	n	0070C0		21
